4915.53 --> 4918.65 | SPEAKER_02
4919.50 --> 4920.07 | SPEAKER_02
4921.49 --> 4979.49 | SPEAKER_02
4951.26 --> 4951.78 | SPEAKER_00
4972.03 --> 4972.98 | SPEAKER_00
4979.49 --> 4983.61 | SPEAKER_00
4983.61 --> 4998.57 | SPEAKER_02
4999.94 --> 5007.30 | SPEAKER_02
5008.50 --> 5020.21 | SPEAKER_02
5012.04 --> 5013.51 | SPEAKER_00
5021.98 --> 5046.94 | SPEAKER_02
5034.54 --> 5036.19 | SPEAKER_01
5037.66 --> 5038.77 | SPEAKER_00
5046.94 --> 5122.89 | SPEAKER_00
5108.92 --> 5110.32 | SPEAKER_01
5118.49 --> 5118.98 | SPEAKER_02
5118.98 --> 5119.15 | SPEAKER_01
5122.89 --> 5123.77 | SPEAKER_02
5124.51 --> 5142.97 | SPEAKER_02
5133.47 --> 5134.20 | SPEAKER_00
5138.77 --> 5139.94 | SPEAKER_00
5142.55 --> 5143.70 | SPEAKER_00
5144.48 --> 5147.48 | SPEAKER_00
5147.48 --> 5148.95 | SPEAKER_02
5151.77 --> 5174.04 | SPEAKER_02
5156.47 --> 5157.35 | SPEAKER_00
5168.32 --> 5169.40 | SPEAKER_00
